Surname,#Awards,Education
Wilkes,2,"microprogramming,  EDSAC"
Wilks,2,"computational linguistics,  artificial intelligence"
Wilkinson,1,numerical analysis
Wilson,1,ARM architecture
Winograd,1,Coppersmith–Winograd algorithm
Winograd,2,"artificial intelligence,  SHRDLU"
Winston,1,artificial intelligence
Wirth,5,"ALGOL W,  IFIP WG 2.1 member,  Pascal,  Modula,  Oberon"
Wiseman,1,computer graphics
Wisnosky,2,"Integrated Computer-Aided Manufacturing ,  IDEF"
Wolfram,1,Mathematica
Woodger,3,"Pilot ACE,  ALGOL 60,  Ada"
Woodward,5,"ambiguity function,  sinc function,  comb operator,  rep operator,  ALGOL 68-R"
Worsley,1,wrote the first PhD dissertation involving modern computers; was one of the people who wrote Transcode
Wozniak,1,engineered first generation personal computers at Apple Computer
Wu,1,computer networks
Wulf,3,"BLISS system programming language + optimizing compiler,  Hydra operating system,  Tartan Laboratories"
Yannakakis,0,None
Yao,0,None
Yen,0,None
Yoneda,4,"Yoneda lemma,  Yoneda product,  ALGOL,  IFIP WG 2.1 member"
Yourdon,1,Structured Systems Analysis and Design Method
Yung,0,None
Zadeh,1,fuzzy logic
Zantema,1,termination analysis
Zaman,1,pseudo-random number generator
Zedan,1,formal methods and real-time systems
Zilberstein,4,"artificial intelligence,  anytime algorithms,  automated planning,  and decentralized POMDPs"
Zimmerman,1,James M. Beall Professor of Mathematics and Computer Science at Goucher College
Zuse,1,German pioneer of hardware and software
